out_seq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
23,0,1,0,0,2,2,1,1,2,2,0,1,0,1,2,1,0,2,2,2,0,1,1,2,1,0,1,1,2,1,2,1,0,2,0,2,2,1,0,2,0,1,1,0,0,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2
24,0,1,2,0,2,2,2,0,2,1,0,0,0,1,0,1,0,1,1,0,1,2,2,1,0,0,2,1,0,0,0,2,0,2,1,0,2,0,1,2,2,0,0,1,1,0,0,2,0,0,2,1,0,2,0,2,2,2,2,0,2,1,0,0
25,0,0,2,0,0,2,0,1,1,0,0,0,1,2,1,2,2,1,2,2,1,1,1,0,2,1,2,2,0,1,2,2,2,0,2,1,2,0,2,1,2,2,2,0,1,2,0,1,1,0,1,0,0,2,2,0,0,2,1,1,0,1,2,1
26,2,0,2,0,2,1,1,1,0,0,2,1,1,1,2,1,0,2,2,0,1,2,0,0,1,0,2,1,1,0,0,0,1,1,1,0,0,2,2,2,2,0,2,0,2,2,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2,1
27,0,2,1,2,2,0,1,2,0,2,0,0,1,1,0,2,1,0,0,2,1,2,1,1,2,1,2,0,2,1,2,0,1,1,1,0,1,1,2,0,0,0,1,0,1,0,1,2,2,2,1,0,1,2,2,1,1,0,2,2,0,0,1,1
28,0,0,0,0,2,0,1,0,2,0,2,2,0,1,1,0,1,2,1,2,0,1,0,1,0,1,0,0,2,2,2,2,1,1,2,1,2,2,0,2,2,0,0,1,1,0,0,2,2,1,0,1,2,1,2,1,0,0,2,0,2,2,1,0
29,0,0,0,2,2,2,0,0,2,0,2,1,1,2,2,2,1,2,0,1,2,1,2,0,1,1,1,1,0,2,0,1,0,0,2,1,0,0,2,1,0,0,0,1,1,1,0,2,0,1,0,2,1,2,1,0,0,0,0,0,2,0,0,2
30,2,1,0,0,0,1,2,2,2,0,2,0,1,1,2,1,2,2,2,0,2,0,0,2,2,1,0,1,1,0,0,2,1,2,1,1,1,1,1,1,1,0,0,1,0,2,1,2,1,2,0,1,0,2,1,0,2,0,1,2,2,1,1,1
31,0,1,2,2,0,0,0,1,1,2,0,1,0,2,1,1,0,0,2,2,1,0,0,0,1,1,2,1,1,1,2,0,0,1,2,2,1,2,1,1,2,2,2,1,0,2,2,2,0,0,2,2,1,0,1,1,2,2,1,0,2,1,0,2
32,1,1,0,1,0,0,2,1,2,2,2,1,1,1,1,1,0,0,0,2,0,1,2,1,0,2,0,2,2,0,0,0,2,1,1,2,2,1,0,1,2,1,2,2,2,1,0,2,1,2,1,2,0,0,0,2,1,2,2,2,1,0,0,0
33,0,1,0,1,1,0,2,0,0,2,0,0,2,2,0,1,0,1,1,2,1,0,1,1,0,1,0,1,0,0,2,0,0,2,2,2,1,0,1,0,2,0,2,2,2,1,2,0,1,0,2,2,2,0,1,1,2,2,0,1,2,2,1,0
34,2,1,0,0,2,2,2,0,1,1,0,0,1,1,0,2,2,0,0,1,1,0,0,1,0,0,1,1,1,2,2,1,2,0,1,2,2,0,1,1,0,2,1,1,0,0,1,1,1,2,0,0,0,1,1,2,1,0,0,1,1,1,0,1
35,1,1,0,1,0,1,2,0,2,2,0,2,2,1,0,0,0,0,2,0,1,2,2,2,1,0,1,2,2,0,1,1,0,0,2,0,0,1,1,0,0,0,1,1,2,0,2,2,1,0,2,0,2,0,0,1,1,1,1,1,1,2,1,2
36,1,0,1,1,0,1,0,0,0,2,2,0,1,2,0,1,2,0,1,2,2,2,1,0,0,1,2,2,1,0,2,0,0,0,0,0,0,1,1,1,2,0,2,0,2,0,0,1,2,2,0,2,0,0,2,1,1,1,1,0,1,1,1,1
37,0,1,0,0,1,0,1,0,1,1,2,2,1,1,0,2,2,0,1,0,1,2,1,1,0,1,1,0,0,1,1,2,2,1,0,0,1,0,1,2,0,2,1,2,1,1,0,1,0,0,0,2,1,2,0,0,0,0,1,2,1,2,2,0
38,0,2,1,0,2,0,1,0,1,0,0,0,2,1,0,2,0,0,0,0,1,0,1,0,2,1,2,0,0,0,0,0,2,2,1,1,1,1,0,0,0,2,2,2,1,0,0,1,1,0,1,1,2,0,2,1,1,0,2,2,0,2,1,0
39,0,1,2,2,0,1,1,2,0,0,0,2,2,1,2,2,0,0,1,2,1,0,0,1,0,0,1,1,1,0,1,0,2,2,1,2,1,1,1,2,1,1,0,2,0,1,2,1,1,1,0,2,0,0,1,1,2,0,1,2,1,0,2,1
40,0,2,1,1,1,0,0,1,0,1,1,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,2,2,1,1,0,1,0,1,0,0,0,1,0,0,2,0,2,0,0,1,1,0,0,0,1,1,1,2,0,0,2,2,1,0,1,1,2
41,2,1,1,2,1,0,1,1,2,1,2,0,1,1,2,1,0,1,1,0,0,0,2,2,1,0,0,1,2,2,2,1,1,2,2,1,1,0,2,2,0,0,1,1,2,1,0,0,2,2,1,1,1,1,0,2,1,0,0,0,0,0,0,2
42,1,1,0,1,2,2,0,1,1,2,0,0,2,1,2,2,1,0,2,0,0,0,2,1,0,0,1,0,0,1,2,0,0,2,2,0,1,2,1,1,0,0,0,2,0,1,0,2,2,1,2,2,2,2,2,2,0,0,1,1,0,1,2,1
43,1,1,1,0,0,1,2,0,2,1,0,1,1,1,2,1,1,2,1,2,0,0,0,0,2,2,0,0,1,1,1,1,2,2,2,1,1,0,1,0,2,1,1,2,2,2,1,1,1,2,1,1,1,2,0,2,0,0,1,2,1,0,2,2
44,1,1,0,0,2,0,2,0,1,1,0,2,2,1,1,1,1,2,0,1,0,1,2,0,0,1,2,1,0,0,2,0,0,2,0,1,0,0,0,2,0,0,1,0,2,2,0,1,1,1,1,1,1,0,2,0,1,1,2,2,2,0,1,1
45,2,2,0,2,2,1,1,0,2,1,0,1,2,0,2,0,1,2,0,1,2,0,2,1,1,0,0,2,0,1,2,2,2,2,0,2,1,2,0,0,1,1,1,2,0,2,2,0,1,1,0,0,2,2,0,2,1,0,1,0,0,0,1,2
46,2,2,2,0,0,1,2,0,0,2,1,0,2,2,1,0,0,2,1,0,1,0,1,1,1,1,1,0,0,2,1,1,2,1,2,1,0,2,0,0,0,2,1,2,0,2,0,2,1,1,1,1,2,1,0,2,2,1,1,1,2,2,1,0
47,2,1,2,1,0,0,2,1,0,1,0,0,1,0,0,2,0,1,1,0,2,0,0,2,0,1,2,1,0,2,1,2,1,1,0,0,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,2,2,0,2,1,1,0,2,2,1,1,2
48,2,0,1,1,1,2,2,0,1,2,0,1,0,1,0,0,0,1,2,0,1,1,0,2,2,0,1,0,1,0,2,0,0,0,0,0,1,2,1,0,1,0,2,0,1,2,0,2,1,2,0,2,2,1,1,2,1,0,1,0,1,2,0,1
49,0,2,1,1,0,2,2,0,2,0,1,2,1,2,1,0,2,2,0,0,0,0,1,1,2,1,2,2,1,0,0,1,0,1,0,2,0,1,0,2,0,1,2,0,1,2,0,1,0,2,0,0,2,0,2,0,2,0,2,2,0,2,0,1
50,2,1,0,2,0,1,1,2,0,1,2,0,1,2,0,1,0,1,1,0,2,0,1,2,1,1,2,0,1,2,0,1,2,1,0,1,1,0,0,1,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,1,1,0,0,2,2,2,1,2
51,2,0,2,1,1,1,0,2,2,0,2,0,2,2,1,2,1,1,2,2,0,0,0,1,0,2,2,1,0,0,0,0,0,1,1,2,0,2,0,0,1,0,2,1,1,1,2,1,0,1,2,1,1,2,1,1,1,0,2,0,2,0,2,0
52,2,2,1,1,1,1,1,1,0,0,0,1,0,2,0,1,1,1,0,1,0,2,1,0,0,2,1,2,0,1,0,2,2,0,1,2,1,2,0,1,2,2,1,0,2,0,2,2,0,2,2,0,1,0,1,2,2,1,2,1,1,0,1,0
53,0,2,2,0,1,0,0,2,0,2,0,2,1,1,1,2,1,0,2,2,0,2,0,1,2,2,0,1,1,1,2,2,1,1,0,2,2,1,2,2,1,0,2,1,1,0,0,0,0,0,2,0,1,1,0,0,0,2,2,1,0,2,2,0
54,2,1,2,1,2,0,1,2,0,0,1,0,2,1,0,2,1,0,1,2,1,2,1,1,2,1,1,2,1,0,1,2,2,2,1,1,1,0,2,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,2,1,2,0,0,1,0,0,0,1
55,0,1,2,1,1,0,1,0,2,0,1,2,2,1,2,1,1,1,2,2,2,2,0,0,1,0,2,2,2,0,2,2,1,2,1,2,0,1,1,2,1,0,0,1,1,2,2,2,0,1,2,0,1,1,0,0,1,0,1,2,2,0,2,0
56,0,1,2,1,0,2,2,2,1,1,1,0,0,1,2,2,0,1,2,0,1,2,1,1,0,0,2,1,0,0,2,2,0,1,0,1,0,0,1,2,1,1,0,1,2,1,0,2,2,0,1,0,0,2,1,0,0,0,2,1,0,0,0,0
57,1,1,1,2,2,1,0,2,1,0,2,2,0,0,0,0,1,2,1,1,1,1,0,0,0,2,2,0,1,1,1,0,0,0,0,2,0,0,1,0,2,2,2,0,2,0,1,0,2,0,1,0,0,2,1,2,0,2,0,0,0,2,0,1
58,1,1,1,0,0,0,2,2,1,2,1,1,0,1,1,2,2,0,0,0,2,0,2,1,2,2,2,1,1,2,0,1,1,1,0,2,2,1,0,2,0,0,0,1,1,0,2,2,0,1,1,1,2,1,0,2,0,0,2,1,0,1,2,1
59,0,0,1,2,2,0,2,1,0,0,1,0,1,1,0,2,1,1,0,2,2,2,1,1,2,2,0,0,1,1,2,1,2,0,0,1,1,0,0,2,1,0,1,0,1,1,1,1,2,0,1,1,2,0,2,1,0,2,1,0,1,1,1,0
60,0,1,1,0,1,2,1,1,1,0,1,2,1,0,2,1,1,0,1,1,1,1,1,2,1,0,2,1,1,1,2,0,0,0,1,2,2,2,0,0,2,1,2,0,2,1,2,1,0,0,2,2,2,2,0,0,2,0,0,1,0,2,1,2
61,1,1,1,2,2,1,0,2,1,0,2,1,0,0,0,1,0,2,1,1,2,2,2,2,2,0,1,0,0,0,0,1,2,2,1,0,0,0,0,2,2,0,2,2,0,2,1,0,1,0,0,1,0,1,0,1,1,2,0,1,1,1,1,2
62,2,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,1,0,1,2,0,0,2,2,1,1,0,2,0,1,1,2,1,0,1,1,0,2,0,2,0,0,1,2,0,1,1,1,0,0,0,1,2,2,2,1,1,1,1,0,2,2,2,1
63,2,2,2,0,2,2,0,1,1,2,2,1,1,1,1,1,0,1,0,0,2,0,0,2,2,1,2,1,0,1,1,0,1,2,1,2,0,0,2,1,0,2,1,0,1,0,1,0,0,0,2,2,2,0,1,0,0,1,1,2,1,1,1,1
,
