PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1045,0,0,-1,0,0,1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,0,0,-1,-1,0,1,1,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1046,-1,0,0,0,0,-1,0,-1,1,1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,1,-1,1,0,-1,-1,0,1,0,-1,0,0,0,1,1,0,0,-1,0,0,0,0,0,1,0,1,0
1047,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,1,0,1,0,0,1,1,1,1,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,-1,0
1048,-1,0,-1,1,1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,1,0,0,1,1,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,1,1,0,1,0,0,1,1,-1,-1,1,0,0,-1,-1
1049,0,-1,-1,0,1,0,0,0,0,0,0,-1,0,1,1,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
1050,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
1051,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,1,0,1,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0
1052,0,1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,-1,0,1,0,0,-1,0,0,1,0,1,-1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
1053,1,0,0,0,-1,-1,0,1,-1,0,0,0,0,1,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,0,0,0,0,0,-1,0,-1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,1,-1,0,0,0,-1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0
1055,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,0,0,0,1,0,-1,0,-1,1,0,0,0,0,1,-1,-1,0,-1,0,-1,-1,0,1,-1,0,-1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,-1,-1,0,-1,-1
1056,0,0,0,1,0,1,-1,1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,-1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,1,0,0,0,-1,0,0,-1,0,0,0,0
1057,0,1,0,-1,0,0,1,-1,1,1,0,1,-1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,1,0,-1,0,0,0,0,1,0,-1,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0
1058,0,0,0,0,0,-1,0,-1,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,1,1,1,0,-1,0,0,1,-1,-1,-1,0,0,1,0,1,1,-1,-1,0,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,0,1
1059,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,-1,-1,0,0,-1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,-1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
1060,0,0,0,0,0,0,0,-1,0,1,-1,0,0,-1,1,0,1,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,1,0,1,0,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,1,0
1061,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,-1,0,0
1062,0,0,0,1,0,0,0,0,0,0,1,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,1,0,0,0,0,1,-1,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0
1063,1,0,0,0,0,1,0,-1,1,0,0,0,0,-1,-1,0,-1,0,-1,0,-1,0,0,-1,1,1,-1,0,1,1,-1,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,-1,1,0
1064,0,1,0,0,1,0,0,0,0,-1,0,-1,1,0,0,1,-1,-1,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,1,1,1,-1,0,0,0,-1,0,-1,1,0,-1,-1,-1,0,0,-1,0,0,1,0,0,0,0,-1,-1,1,1,0,1,0,0
1065,-1,0,0,0,-1,0,0,1,0,-1,1,0,0,0,0,0,-1,1,1,0,0,0,1,0,-1,0,0,0,0,0,-1,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,1,1,0,0,1,1
1066,1,0,-1,-1,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,-1,0,1,0,1,0,0,0,1,1,-1,0,0,0,0,0,1,0,-1,0,0
1067,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,1,0,-1,0,0,-1,0,1,0,0,0,1,-1,0,-1,-1,0,1,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1068,0,0,0,1,1,-1,0,0,0,1,-1,0,-1,0,0,1,-1,0,0,0,0,-1,0,0,-1,1,0,0,-1,0,-1,0,0,-1,1,0,-1,-1,0,0,-1,0,0,1,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0
1069,0,-1,0,1,0,-1,-1,0,1,0,0,0,1,0,-1,0,0,1,1,-1,0,-1,1,1,1,1,0,0,0,0,1,0,0,1,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,0,1,0,1
1070,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,-1,-1,0,1,0,-1,0,0,-1,0,0,1,0,0,-1,0,1,0,0,-1,0,0,0
1071,0,1,1,-1,0,-1,0,-1,0,0,0,1,0,0,0,1,0,-1,0,-1,0,0,0,0,0,1,0,-1,0,1,0,0,0,-1,0,1,1,0,1,0,0,1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,-1
1072,-1,0,0,0,0,0,1,0,1,1,0,1,0,-1,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,-1,0,0,1,0,-1,0,0,-1,1,1,0,0,0,0,1,1,-1,0,0,0,-1,0,-1,1,1,-1,0,0,-1,0,0,0,1,0,-1
1073,1,-1,0,0,-1,-1,-1,1,0,1,-1,1,1,0,1,0,1,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,1,0,-1,0,1,0,-1,0,0,0,0,0,0,-1,0,0,1,1,1,-1
1074,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1075,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,-1,0,1,0,0,0,1,-1,0,1,0,0,0,-1,0,1,-1,0,0,0,0,1,0,0,0,1,1,0
1076,-1,1,0,1,0,-1,0,1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,-1,-1,0,1,1,1,1,-1,1,0,0,1,1,1,1,-1,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,1,-1,0,1,0,0,0,0,0,0,1,0
1077,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,1,0,0,-1,0,-1,0,1,1,0,1,-1,0,0,0,0,0,-1,-1,0,1,0,0,0,1,0,0,0,1,0,0,-1,1,0,1,0,-1,1,0,0,0,0,0,1,0,1,1,0,0
1078,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,-1,-1,1,1,1,1,-1,0,1,-1,0,0,0,-1,0,0,0,0,0,0,1,-1,1,0,0,0,-1,0,0,0
1079,0,-1,0,0,0,0,0,1,0,0,0,1,0,-1,1,0,0,-1,0,-1,0,1,-1,0,-1,0,0,0,0,1,-1,1,1,1,1,0,0,-1,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,1,1,0
1080,-1,0,1,0,1,0,0,-1,1,0,0,1,1,0,0,0,-1,0,0,-1,0,0,1,-1,-1,0,0,1,0,-1,0,0,0,1,1,0,0,1,1,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,1,-1,0,0,0,1,1,0,0,-1,0,0
1081,1,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,-1,0,0,0,1,-1,1,0,0,0,-1,0,0,1,1,1,0,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0
1082,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,1,1,1,-1,1,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,1,1,0,1,1,0,-1,-1,1,0,1,0,0,0,-1,0,0,0,1,0,0
1083,0,1,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,1,-1,1,0,0,0,0,1,1,-1,0,0,0,0,1,-1,0,-1,-1,0,0,0,0,-1,0,1,1,0,0,0,0,0,1
1084,0,1,0,0,-1,0,0,0,0,0,1,0,-1,0,-1,0,0,1,0,1,0,1,0,0,0,0,0,-1,0,-1,-1,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,-1
1085,-1,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,0,1,0,0,1,1,0,0,0,0,0,0,-1,-1,1,1,0,0,0,-1,0,1,0,0
1086,0,0,-1,0,0,0,0,0,0,1,0,0,-1,1,-1,0,-1,0,-1,-1,0,0,0,1,-1,1,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,0,1,0,-1,0,1,0,0,1,0,1,-1,0,0,1,1,0,-1,0,0,-1,0,0
1087,-1,1,0,0,0,0,0,0,1,1,-1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1,-1,0,-1,0,1,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,1,0,0,1,0,-1,-1,1,0,0,0,0,0
1088,1,1,0,-1,1,0,-1,-1,-1,-1,0,1,0,0,0,1,0,-1,-1,-1,0,0,1,0,-1,1,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,1,1,1,-1,1,0,1,0,0,0,1,1,0,-1,0,0,1
1089,0,-1,0,1,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,1,0,-1,-1,0,0,0,0,1,-1,-1,0,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,1,1,-1,-1,0,0,0,1,0,0,0,0
1090,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,-1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,-1,1
1091,0,-1,0,0,0,0,-1,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,-1,1,0,0,-1,-1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,1
1092,0,0,0,-1,1,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,1
1093,0,1,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,-1,0,0,-1,1,1,0,0,0,0,-1,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1
1094,0,0,0,0,-1,0,1,0,0,1,1,0,0,1,-1,0,1,0,1,1,0,0,0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1095,0,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,-1,0,1,-1,-1,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,-1,0,0,0,0,1,0
1096,0,-1,1,0,0,1,0,0,-1,1,-1,-1,0,0,-1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,0,1,0,0,0,0,0,0,-1,1,0,0,0,-1,0,1,0,0,0,-1,0,0,0,-1
1097,0,-1,0,1,-1,1,-1,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,1,1,-1,1,1,0,1,0,0,0,0,0,1,0,-1,-1,1,1,0,0,0,0,-1,0,0,1,-1,0,0,-1,1,0,-1,1,1,0,0,0,1,0
1098,-1,0,0,0,0,1,0,1,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,0,1,1,-1,-1,1,0,0,0,-1,0,-1,1,1,-1,0,-1,1,0,0,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,1,0,1,-1,0,-1,0,0,0
1099,0,0,0,-1,0,0,-1,1,0,0,-1,0,-1,0,0,0,0,1,-1,0,0,1,-1,0,1,1,0,0,1,0,0,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,-1,-1,-1,-1,0,0,0,0
1100,0,-1,0,1,0,0,0,0,1,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,0,0,-1,1,0,1,1,-1,-1,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0
1101,-1,0,0,-1,-1,0,0,0,1,0,-1,0,0,0,1,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,-1,0
1102,0,0,-1,0,0,0,0,0,0,0,1,1,0,-1,0,0,1,-1,0,-1,-1,0,0,0,0,1,1,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,1,1,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,0,-1,1,0
1103,0,0,-1,-1,0,0,0,0,0,-1,-1,0,1,-1,0,-1,0,0,0,0,0,1,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,0,0,1,-1,0,1,-1,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0
1104,-1,0,0,0,0,1,0,-1,1,0,1,0,0,0,0,-1,0,-1,0,1,0,0,1,1,0,-1,0,0,0,1,0,1,0,-1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,-1,0,1,0,0,0,-1,-1,-1,0,1
1105,0,1,0,1,1,0,1,-1,0,0,0,0,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,1,0,-1,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0
1106,-1,-1,0,-1,0,1,0,-1,0,0,1,1,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,1,-1,1,0,1,0,1,0
1107,0,0,0,0,-1,0,0,1,0,0,-1,0,1,0,0,-1,1,0,0,0,1,0,0,0,0,1,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,-1
1108,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,1,0,1,1,0,0,0,-1,0,0,-1,0,-1,0,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,-1
1109,1,-1,0,0,0,0,0,-1,1,0,0,0,1,1,-1,0,0,1,0,1,1,0,0,-1,0,0,0,1,0,0,0,0,0,-1,-1,0,-1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,1,-1,0,0,1,0,0,0
1110,0,-1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,-1,0,1,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,-1,1,0,0
1111,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,1,0,-1,0,-1,0,0,0,1,0,-1,0,1,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,1,0,-1,0,0,-1,-1,1,0,0,-1,1,-1,0,0,0,-1,-1
1112,1,-1,0,0,0,1,-1,-1,0,1,1,-1,0,0,0,-1,0,0,1,-1,0,1,1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,1,0,0,1,0,0,-1,0,0,-1,0,0,0,1
1113,-1,0,0,1,1,-1,-1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,1,0,0,0,1,-1,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,-1,0,1,-1,0,1,0,0,0,0,0,0,0,1,0
1114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,1,0
1115,-1,0,0,1,-1,0,0,-1,0,0,1,1,-1,1,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,-1,0,0,0,1,-1,0,0,-1,-1,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,-1,0,-1,0,0,0,0,1,0
1116,0,0,-1,1,0,1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,-1,1,1,0,0,0,0,-1,-1,0,0,0,0,0,1,-1,0,1,1,0,0,1,0,1,-1,-1,0,1,1,-1,0,0,1,0,1,0,0,0
1117,0,1,-1,-1,0,-1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,1,0,-1,-1,0,-1,0,0,1,-1,0,-1,0,-1,1,1,0,0,0,1,-1,0,0,1,0,0,0,0,0
1118,0,0,0,0,-1,0,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,1,-1,-1,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,1,0,1,0,0,-1,0,1,0,0
1119,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,-1,0,1,1,0,1,0,1,-1,0,0,-1,1,-1,-1,0,1,0,-1,0,1,-1,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,1,0,-1,-1,0,0
1120,1,0,-1,1,0,0,0,-1,0,0,-1,-1,1,1,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0,1,-1,-1,-1,1,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,-1,1,1,0,1,0,-1,-1,0,0,0,0,1,-1,0
1121,0,0,0,1,0,-1,0,0,-1,-1,0,-1,-1,1,0,1,-1,1,0,0,1,-1,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,-1,0,0,0,0,0,0,1,-1,0,1,0,1,0,0,0,0
1122,0,0,0,0,0,0,0,0,1,-1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,-1,0,0,0,0,-1,0,1,-1,-1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1
1123,1,-1,0,-1,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-1,0,0
1124,-1,0,0,0,1,0,1,0,0,0,1,0,0,-1,1,0,0,0,-1,1,0,0,0,1,0,-1,0,0,0,1,0,0,1,-1,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,-1,1,0,0,-1,1
1125,0,0,0,1,0,0,0,1,0,0,-1,1,0,0,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,-1,0,-1,-1,0,0,-1,0
1126,0,-1,0,0,-1,1,0,0,0,1,-1,0,1,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0
1127,-1,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,1,-1,0,0,0,1,-1,0,0,0,0,0,1,-1,1,0,0,1,0,-1,0,-1,0,-1,0,0,0,-1,1,0,0,0,0,0,0,1,-1,-1,-1,1,0,0,0,0,-1
1128,0,-1,1,0,0,1,0,-1,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,1,-1,-1,0,1,0,1,0,0,-1,-1,0,0,-1,0,1,-1,0,0,-1,0,1,-1,0,1,1,0,1,0,0,0,1,0,-1,0,0,0,-1,0
1129,0,0,0,0,-1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,-1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,1,0,1,1,0,-1,0,0,0,0,-1,0
1130,0,1,1,0,-1,-1,0,0,-1,1,0,0,1,-1,0,-1,0,0,0,1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1131,1,-1,1,-1,0,-1,-1,0,1,1,0,-1,0,0,0,0,0,1,1,-1,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1
1132,0,0,0,-1,0,0,0,1,0,1,-1,0,0,0,1,0,0,-1,0,1,0,-1,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-1,1,-1,0,0,0,1,0,1,-1,0,1
1133,1,0,0,0,1,0,0,-1,-1,0,0,1,1,0,0,1,1,0,0,-1,1,-1,-1,0,0,1,1,0,1,1,0,-1,-1,0,0,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,1,0,1,0,0,0,-1,0,-1,0,0,-1,1,1,0
1134,-1,0,1,0,1,0,1,1,0,0,0,1,-1,-1,0,1,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,-1,-1,1,0,0,-1,0,0,1,0,0,0,0,1,0
1135,-1,0,0,-1,1,0,1,-1,0,0,0,0,-1,0,0,0,1,-1,1,0,-1,0,0,1,0,-1,0,0,1,0,-1,-1,0,0,0,0,1,1,-1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,-1,-1
1136,0,1,0,-1,0,0,1,-1,0,1,-1,-1,1,0,0,0,0,0,0,-1,1,1,0,0,-1,0,0,0,0,-1,0,1,0,0,-1,1,1,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,0,1,0,0,0,0,-1,0,1,0,-1,1,0
1137,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,-1,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,1,-1,0,0,0,0,1,0,1,0,0,-1,0,0,-1,-1,0,0,0,0,-1,0,0,0
1138,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,-1,1,0,1,0,-1,1,0,0,-1,0,0,-1,0,0,-1,1,0,-1,-1,0,-1,1,-1,0,0,0,1,1,0,1,-1,0,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0,0,-1
1139,0,0,0,1,-1,1,0,0,0,0,-1,1,0,0,0,1,1,0,0,0,-1,1,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
1140,0,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,-1,0,0,0,1,0,0,1,-1,0,1,0,0,0,0,0,0,-1,1,0,1,0,-1,0,0,0,0,0,0,1,0
1141,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,-1,0,-1,0,1,0,0,0,-1,-1,-1,0,1,0,0,0,0,1,-1,1,0,0,0,1,0,0,0,0
