PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
745,1,0,1,0,1,0,1,-1,0,-1,1,0,0,0,-1,-1,0,0,1,1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,1,0,0,0,1,0,-1,0,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,-1,1,-1,0,0,0,1,0,0,0
746,0,-1,1,0,1,-1,0,1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,1,0,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,0,-1,0,0,0,0,0,0
747,1,0,1,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,1,-1,0,1,0,-1,0,0,0,-1,0,-1,-1,0,0,1,0,0,1,0,1,0
748,1,0,1,-1,1,0,-1,1,0,0,0,1,-1,-1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0,-1,0
749,0,1,1,0,1,0,0,0,-1,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,1,-1,1,0,0,1,0,0,-1,0,1,-1,0,1
750,0,0,0,0,-1,-1,0,-1,0,0,1,0,-1,1,-1,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,-1,-1,-1,0,-1,1,0,0,-1,1,0,0,0,1,-1,0
751,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
752,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,1,-1,1,0,0,-1,0,0
753,0,1,1,0,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,-1,1,0,0,1,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,1,-1,0,0,-1,-1,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0
754,0,0,1,-1,0,0,0,-1,0,0,1,1,0,-1,-1,0,0,1,0,-1,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,1,-1,0,0,1,0,0,0
755,0,0,0,1,0,0,0,0,0,-1,1,-1,0,-1,-1,0,0,1,0,0,1,0,0,0,0,-1,1,-1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,-1,0,-1,0
756,0,0,-1,0,1,-1,-1,0,-1,0,0,-1,0,0,-1,1,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,1,-1,-1,-1,0,0,-1,0,1,0,0,0,0,0,-1,0,1,0,0,0,1
757,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,-1,0,1,0,0,0,-1,0,-1,0,-1,0,-1,-1,1,0,0,0,0,-1,1,-1,1,-1,0,0,0,-1,0,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0
758,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,1,-1,0,0,0,0,0,0
759,0,1,0,-1,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,-1,0,1,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,1,1,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
760,0,-1,-1,1,1,0,-1,-1,0,1,1,0,-1,-1,1,-1,-1,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,1,1,0,1,0,0,0,-1,0,0,-1,0,-1,-1,0,0,1,0,-1,1
761,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,-1,0,1,1,0,0,0,0,0,0,1,-1,0,1
762,1,0,-1,0,1,1,0,0,-1,0,1,1,0,0,0,0,1,-1,0,0,1,0,-1,0,0,-1,0,0,1,0,0,-1,-1,1,-1,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1,0,0,0
763,-1,1,1,0,0,-1,-1,1,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,1,1,1,1,0,0,0,1,0,1,0,0,0,-1,1,-1,1,1,0,1,0,0,1
764,1,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,0,-1,1,-1,0,0,0,0,0,0,1,0,1,-1,0,0,-1,0,0
765,0,0,0,0,0,1,0,0,1,0,-1,-1,-1,0,0,0,0,1,-1,0,1,0,0,0,1,1,0,0,0,0,0,1,-1,0,1,1,1,0,0,-1,0,0,0,0,-1,-1,1,0,1,0,1,-1,-1,1,0,-1,0,0,0,-1,-1,0,1,0
766,0,0,0,0,-1,-1,1,0,0,-1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,-1,0,0,1,1,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,1,1,1,0,0,-1,0,-1,0,-1,0,1,0,0,1
767,0,1,0,1,0,1,0,0,0,0,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,1,0,-1,0,1,0,0,-1,0,0,-1,-1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
768,0,0,1,0,0,1,0,1,0,0,0,0,1,0,-1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,-1,1,0,0,0,1
769,0,1,0,1,1,0,-1,1,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,-1,1,1,0,1,0,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
770,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,1,-1,1,0,0,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,-1,1,-1,1,1,0,-1,-1,0,0,0,-1,0,0,-1,-1,0,-1,0
771,0,1,0,-1,0,-1,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,1,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,1,1,0,1,1,0,-1,-1,0,0,1,0
772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,1,0,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0
773,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,-1,0,-1,0,0,1,0,-1,0,0,-1,0,1,0,1,0,-1,-1,0,0,0,0
774,-1,1,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,1,-1,0,0,1,0,1,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,1,0,1,0,0,0,-1,0,1,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0
775,0,0,0,0,-1,0,0,0,0,1,0,0,1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1
776,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,-1,1,0,0,0,1,0,1,0,0,0,0,1,-1,0,0,0,0,0
777,-1,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,-1,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,-1,1,0,0,0,1,-1,1,-1
778,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,0,0,0,0,0,1,-1
779,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,-1,0,-1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
780,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,-1,1,0,0,0,1,0,0,-1,1,1,0,0,-1,1,0,-1,-1,0,-1,1,0,0,-1,1,-1,0,0,-1,0,1,0,0,-1,-1,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,-1
781,-1,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,1,0,-1,0,1,0,1,0,-1,0,0,0,-1,0,0,0,-1,0,0,1,0,0,-1,0,0,1,0,-1,0,0,0,0
782,0,0,-1,0,0,1,0,1,0,-1,0,0,1,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,-1,0,-1,1,0,0,0,0,-1,-1,0,1,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0
783,0,0,1,0,0,0,1,0,-1,0,0,0,-1,0,-1,1,-1,0,0,-1,1,-1,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,1,1,-1,0,0,0,-1,0,0,0,0,-1,1,-1,0
784,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,1,1,1,-1,0,0,0,-1,0,0,0,0,1,0,0,-1,0,-1,0,0,1,0,0,0,0,-1,0
785,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,1,0,0,-1,0,0,1,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,1
786,0,0,0,0,0,1,0,0,-1,0,0,1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0
787,-1,1,0,0,0,1,1,-1,0,-1,0,0,-1,0,1,1,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,1,1,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0
788,0,0,1,1,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,-1,-1,0,0,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,0,1,0
789,1,0,0,0,0,1,0,1,0,0,1,0,0,-1,0,-1,0,1,-1,0,0,1,0,0,0,-1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,-1,1,0,1,0,0,-1,0,0,-1,-1,0,0,0,1,0,-1,0,0,0,0,0,1
790,1,0,-1,0,0,0,0,0,1,0,-1,1,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,0,-1,1,0,0,0,-1,0,0,1
791,1,0,0,-1,0,-1,0,1,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,1,1,0,0,0,-1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,1,0
792,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,1,0,1,-1,1,0,0,0,0,0,1,1,0,0,0,1,1,-1,0
793,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,1,-1,0,-1,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
794,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,-1,-1,0,1,0,0,1,-1,0,1,0,0,0,1,-1,1,-1,-1
795,-1,-1,0,1,0,1,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-1,0,-1,-1,-1,-1,1,0,0,1,0,1,-1,0,-1,1,1,1,0,-1,1,0,-1,1,0
796,1,-1,0,0,-1,1,0,0,1,-1,-1,0,0,0,1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,0,0,-1,0,-1,1
797,0,1,-1,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,1,0,-1,0,1,0,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,1
798,0,0,-1,0,-1,0,0,-1,0,0,0,1,0,0,1,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,0,0,0,1,0,-1,-1,0,0,-1,-1,0,-1,0,0
799,0,1,0,0,1,0,-1,0,0,1,-1,-1,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,-1,0,-1,1,0,1,1,0,1,1,0,0,0,1,0,-1,0,0,1,0,0,1,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,0
800,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,1,1,0,0,0,1,0,0,0,0,-1,-1,0,1,1,0,0,0,0,-1,1,0,0,0,0,-1,0,0,1,-1,0,0,0,1,0,0,-1,0,0,1,1
801,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0
802,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,0,-1,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,1,0,0,0,1
803,0,0,-1,0,1,1,0,0,0,0,1,0,0,0,-1,0,0,1,-1,0,0,0,-1,0,0,0,-1,0,1,0,1,0,1,0,-1,0,1,0,-1,0,0,-1,0,0,-1,0,-1,0,-1,0,0,0,-1,0,1,0,0,-1,-1,0,-1,0,0,0
804,0,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,1,-1,0,0,0,0,0,1,0,0,0,-1,0,0,-1,-1,1,-1,0,1,-1,0,-1,0,1,0,0,-1,0,0,0,0,-1,0,1,0,0
805,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,1,0,0,1,0,-1,-1,0,0,0,1,-1,0,1,0,0,1,1,0,0,-1,0,0,1,-1,0,0,0,-1,1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,1,1,0,0
806,0,0,0,0,-1,-1,0,0,0,-1,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,1,1,1,-1,-1,0,0,1,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
807,0,0,-1,0,1,0,0,0,0,0,-1,1,-1,-1,0,-1,-1,1,1,0,1,0,0,1,1,1,0,1,-1,-1,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
808,1,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,1,-1,0,1,0,0,0,0,-1,0,1,-1,1,0,0,1,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,-1,0,-1,0,0,0,0,1,0,-1,1,0,0
809,0,-1,0,0,1,0,0,-1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,-1,0,0,1,-1,-1,0,1,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,0,1,0,1,0,0,0,0,-1,1,0,0,0,0
810,0,-1,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-1,0,-1,0,-1,1,-1,1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,1,-1,0,0,0
811,-1,0,1,1,-1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-1,0,1,1,0,1,-1,0,0,0,0,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
812,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,1,-1,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,0,0
813,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,1,-1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,-1,1,0,-1,0,0,1,0,0,-1,0,0,0,0,0,-1,0,-1,1,1,0,0,0,-1,-1,0,0,0,0,1,0,-1,-1,1
814,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,1,0,1,0,0,0,-1,0,0,1,0,0,1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,1,0,-1,0,0,1
815,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,-1,0,0,1,0,1,0,0,-1,-1,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1
816,0,0,0,0,0,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,1,0,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0
817,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,-1,0,0,0,0,0,1,1,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0
818,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-1,-1,0,1,0,0,-1,0,0,-1,1,-1,1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,-1,0,0,-1,-1,1,1,0
819,0,0,0,1,1,0,0,0,1,-1,0,0,0,0,-1,0,0,-1,1,0,0,0,1,1,1,1,-1,0,0,1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,1
820,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,1,-1,0,1,0,0,-1,0,0,0,0,0,1,1,0,-1,0,1,0,0,0,0,0,0,-1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-1,1,-1,1,0
821,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,1,-1,0,-1,-1,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,-1,0,0,-1,-1,1,-1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0
822,0,0,0,-1,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,-1,0,-1,0,0,-1,0,0,0,1,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,-1,1,1,0,0,1,1,0,0
823,0,1,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,1,0
824,-1,1,1,0,-1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,-1,0,0,-1,0,0,1,-1,-1,-1,1,-1,0,0,1,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,1
825,1,0,0,0,0,0,0,0,1,1,-1,0,0,1,-1,0,0,-1,0,0,1,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
826,0,0,0,0,1,0,0,1,0,0,0,-1,0,-1,0,0,0,-1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,-1,-1,0,0,0,0
827,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0,0,1,0,1,-1,0,0,-1,-1,0,-1,1,0,-1,1,-1,1,-1,-1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,-1,0,0,1,0,0,1,0,-1,0,0,0,-1
828,0,-1,0,0,0,1,0,0,1,-1,0,-1,1,0,-1,1,-1,-1,0,0,0,0,0,-1,0,1,0,-1,0,0,0,-1,0,0,0,1,1,1,0,0,1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
829,1,0,1,0,1,0,1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,-1,1,0,0,0,1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,1,0,0,0,1,0
830,0,0,0,-1,0,1,0,1,0,0,1,0,-1,0,-1,1,0,0,0,-1,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,0,1,0,0,1,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,-1,0,1,1,1,0,0,-1,0,0
831,-1,0,1,0,0,-1,0,0,1,-1,0,1,0,1,0,0,1,0,-1,1,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,1,0,0,1,1,1,1,-1,-1,0,0,-1,1,-1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0
832,-1,1,0,0,-1,0,0,0,0,0,-1,-1,1,-1,0,-1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-1,0,0,0,0,0,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,0,0,-1,-1,0,0,0
833,-1,-1,0,0,0,-1,0,0,-1,0,1,0,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,1,-1,0,-1,0,-1,1,-1,0,0,-1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,1,0,0,0,-1,0,-1,1,0,0,0,0
834,0,1,0,0,0,1,0,0,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0,0,1,0,0,0
835,-1,0,1,1,0,-1,0,0,0,-1,0,-1,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,1,0,0
836,0,0,0,0,1,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,-1,-1,1,1,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,-1,-1,-1,1,0,1,0
837,0,1,0,-1,0,-1,0,1,0,0,1,0,0,-1,1,-1,0,0,0,0,0,1,-1,0,1,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,1,0,0,1,0,-1,1,-1,1,0,-1,0,1,0,1,-1
838,-1,0,0,1,0,1,-1,0,0,1,1,0,-1,-1,0,0,-1,-1,0,0,0,0,1,-1,0,-1,1,1,0,0,-1,0,0,0,0,0,-1,-1,0,1,0,0,0,-1,0,-1,0,0,1,0,-1,0,0,0,0,-1,-1,0,1,0,-1,0,0,0
839,0,0,0,0,1,0,-1,0,0,1,-1,0,0,-1,0,0,-1,1,0,0,-1,1,0,0,0,1,-1,0,0,1,0,-1,0,-1,0,-1,-1,-1,0,1,0,-1,1,1,0,0,0,-1,0,-1,0,0,0,1,0,0,-1,0,1,-1,0,1,0,0
840,1,1,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,-1,0,0,1,1,-1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
841,0,0,0,1,0,0,0,0,1,1,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,0,1,0,0,-1
842,1,0,-1,0,1,1,-1,0,0,-1,0,0,0,-1,1,1,0,0,0,0,0,1,0,-1,0,-1,-1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,-1
