PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
374,0,0,0,-1,-1,0,0,0,1,0,-1,1,1,0,0,0,1,0,1,-1,0,0,-1,0,0,-1,1,-1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
375,-1,0,0,0,-1,0,1,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,1,1,0
376,0,0,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,-1,-1,1,0,0,0,1,1,0,-1,1,0,0,-1,0,0,0,0,0,1,0,1
377,0,0,0,0,0,-1,0,-1,-1,1,0,1,0,0,-1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,1,0,1,0,0,0
378,-1,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,1,0,-1,1,0,0,0,0,0,1,0,-1,-1,-1,0,-1,0,0,1,0,0,1,0,-1,0,0,-1,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,-1,0,0,1
379,0,0,-1,1,0,0,-1,0,1,0,0,0,0,0,1,1,1,-1,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,1,0,0,1,0
380,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,-1,0
381,-1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-1,0,0,1,1,0,-1,0,1,0,0,-1,1,0,1,-1,-1
382,1,0,-1,0,0,-1,0,1,0,0,0,0,-1,-1,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,-1,-1,0,0,-1,0,0,0,0
383,0,-1,-1,0,0,0,1,0,-1,0,-1,0,0,-1,0,0,-1,1,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,-1,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,1,1,0,0,0
384,1,-1,0,-1,0,-1,1,-1,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,-1,-1,0,-1,0,0,0,0,0,0,1,0,-1,-1,1,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,1,-1,1,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,1,1,0,0,-1,1,1,0,0,1,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
386,-1,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-1,0,-1,0,-1,0,-1,0,1,1,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0
387,-1,0,0,0,1,0,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,1,0,0,0,0,0,-1,0,1,1,0,0,-1,-1,0,0,0,0,-1,0,0,0,1,1,1
388,0,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,1,0,1,1,0,1,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1
389,0,0,1,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,-1,1,0,1,0,1,0,1,0,-1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,-1,0,1,1,0,0,0
390,-1,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,-1,0,1,-1,0,0,1,0,-1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,0,0,0,1,1,1,0,-1,1,0,0,-1,0,-1,0,-1,-1,-1,0,1,0,0,0,1
391,-1,-1,1,0,0,0,-1,1,1,-1,0,0,-1,1,1,0,0,0,0,0,0,-1,-1,0,1,0,1,-1,0,0,0,-1,0,0,-1,0,1,1,0,-1,0,0,0,0,-1,0,-1,1,0,1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0
392,-1,0,1,0,-1,0,-1,1,0,-1,0,0,0,-1,0,1,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,1,0,-1,0,-1,0,0,-1,1,-1,0,1,1,0,0,-1,0,0,1,0,0,-1,0,1,0,0,0,0,1,-1,0
393,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,1
394,1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,1,0,0,1,1,-1,0,0,-1,0,-1,-1,0,0,1,1,0,0,1,0,-1,-1,0,-1,0,0,-1,-1,1,0,0,-1,0,0,1,0,-1,0,0,0,0,-1,0,0
395,0,-1,0,1,0,-1,0,0,1,1,-1,0,0,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,0,0,0
396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,1,0,0,0,0,1,1,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,1,0,0,0,-1,1,0,1,0
397,1,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,-1,1,1,-1,0,-1,-1,0,-1,1,-1,0,0,0,0,0,0,-1,0,-1,1,-1,0,0,-1,-1,-1,0,0,1,0,0,0,0,0,-1,1,0,0,1,0,-1,0,-1,-1,1,0,1
398,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,0,1,1,-1,1,0,-1,0,-1,0,1,-1,0,0,-1,0,0,0,-1,0,1,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,-1,-1,0
399,0,0,0,1,0,1,-1,1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,-1,-1,-1,0,0,0,0,-1,0
400,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,-1,1,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,-1,0,1,0,0,1,0,1,-1,0,0,0,1,0,0,1,-1,1,0,0,0
401,0,0,0,0,0,-1,0,1,1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,0,0,1,0,-1,1,-1,0,0,0,0
402,0,0,0,1,0,0,1,1,0,1,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,-1,1,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1
403,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,-1,1,0,-1,-1,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,1,0,-1,0,-1,0,1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1
404,1,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,1,0,1,1,0,0,0,1,0,0,-1,0,0,0,1,0,-1,1,0,0,-1,0,0,-1
405,1,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,1,-1,0,-1,1,0,0,1,-1,0,0,0,0,0,1,0,0,-1,0,0
406,0,0,-1,-1,0,0,0,0,0,0,0,0,1,-1,0,-1,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,1,1,0,-1,0,0,0,0,1,-1,0,0,0,-1,0,0
407,0,0,1,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,1,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,1,0,-1,0,0,0,-1,0,-1,0
408,-1,-1,0,0,0,1,1,0,-1,-1,0,1,0,0,1,0,0,-1,0,-1,1,0,0,1,1,0,1,0,-1,-1,0,1,1,0,0,-1,0,0,-1,-1,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,1,0,0,1,0,0,1,0
409,-1,0,0,-1,0,0,0,0,-1,0,0,1,0,1,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,-1,1,0,0,1,-1,0,1,-1,0,-1,1,0,0,1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,0,-1,-1
410,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,-1,-1,0,1,0,0,-1,0,0,0,-1,1,1,0,0,0,0,1,0,0,1,0,0,-1,1,-1,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,1
411,1,0,-1,0,0,-1,-1,0,1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,-1,0,1,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0
412,-1,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,1,0,1,-1,1,0,1,0,0,0,0,0,0,0,-1,1,-1,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,-1,0,1,0,0,0,0
413,1,0,0,-1,0,0,1,0,0,0,0,0,0,-1,-1,-1,0,1,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,1,0,-1,0,-1,1,0,0,-1,0,0,0,0
414,-1,0,1,0,0,1,0,0,1,0,0,-1,0,1,0,0,0,0,-1,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,1,1,0,0
415,0,0,0,0,0,0,0,-1,0,1,-1,-1,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0
416,0,0,-1,0,0,0,1,1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,1,0,-1,0,-1,-1,0,0,0,1,0,1,0,0
417,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-1,0,0,0,0,1,-1,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,-1,0,0,-1,0,0,1,-1,0,0,0,1,0,0,0,0,0
418,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,1,1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0
419,0,0,-1,0,-1,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,-1,1,0,0,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,1,0,-1,0,0,1,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0
420,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,-1,0
421,1,-1,0,-1,1,-1,0,-1,0,0,0,0,0,-1,1,0,0,-1,-1,0,-1,0,1,0,1,1,0,-1,0,1,0,0,-1,0,1,0,1,0,0,0,0,1,1,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,1
422,0,0,-1,1,0,-1,0,-1,0,0,0,0,0,1,1,0,0,0,-1,1,-1,0,-1,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,-1,0,1,0,0,0,0,0,1,1,-1,0,0,-1,0,0,0,0,-1
423,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,-1,0,0,0,0,1,0,-1,1,-1,1,0,0,0,0,0,0,0,1,0,-1,-1,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0
424,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,1,0,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,-1,0,0,0,-1,0,1,0
425,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,-1,1,0,0,0,1,1,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,1,0,0,0,0,0
426,0,1,-1,0,-1,0,0,0,0,-1,0,1,-1,0,0,0,0,1,0,1,0,1,0,-1,-1,0,0,0,0,1,0,1,0,0,1,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,0,1,0,0,0,-1,0,0,0,0,0
427,0,0,1,1,1,1,0,-1,0,0,1,0,0,0,0,0,-1,0,0,1,-1,0,0,0,1,1,0,-1,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,1,-1,-1,0,0
428,0,0,1,0,0,0,-1,1,0,0,0,0,0,1,0,0,1,1,-1,0,-1,1,0,0,-1,0,1,-1,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,1,1,0,-1,1,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,-1,-1
429,1,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,1,-1,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,0,0,1
430,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,-1,-1,0,1,1,0,-1,0,1,-1,0,0,0,-1,0,1,0,0,0,0,1,-1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,1,0,0
431,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,-1,-1,0,1,0,0,1,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,-1,-1,0,-1,-1,0,0,0,0,0,0,1,0,0
432,-1,0,0,-1,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,1,-1,0,0,-1,-1,0,-1,0,0,0,-1,0,1,0,0,0,1,0,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,-1,1,0,0
433,1,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,1,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,-1,0,1,0,-1,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0
434,0,0,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,1,-1,0,0,1,0,0,-1,1,0,0,0,0,1,-1,0,1,0,0,-1,0,0,0,0,-1,0,0,1,0,0,-1,0,0,1,0
435,0,-1,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,-1,0,1,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,-1,1,0,0,0,0,1,0,1,1,0,0
436,-1,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,-1,1,0,0,1,-1,1,-1,0,0,0,0,0,0,0,-1,0,0,0,-1
437,0,1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,-1,0
438,0,1,1,1,0,1,0,-1,0,1,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,-1,-1,0,-1,0,-1,1,0,0,0,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
439,0,0,0,0,0,0,0,-1,0,-1,1,0,0,-1,-1,0,0,1,0,-1,-1,-1,1,0,0,0,0,0,0,0,-1,0,0,1,-1,1,0,0,1,1,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,-1,1,1,0,1,1,0,0,0
440,0,0,0,0,0,0,0,-1,0,-1,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,-1,0,0,-1,1,-1,0,0,0,0,0,1,-1,0,1,0,0,0,-1,-1,0,1,0,0,0,0,1
441,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,1,0,0,0,0,0,-1,0,0,0,-1,0,-1,1,-1,0,0,-1,0,0
442,-1,-1,-1,0,0,1,-1,-1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,-1,0,-1,0,1,-1,1,1,-1,0,0,0,0,-1,-1,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
443,0,-1,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,1,0,0,0,-1,0,0
444,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,-1,-1,1,0,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,1,0,0,-1,0,0,-1,-1,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0
445,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,1,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,1
446,-1,-1,0,1,0,-1,-1,-1,1,-1,-1,0,-1,0,1,0,0,-1,0,0,0,1,0,0,0,0,-1,1,0,0,1,0,-1,1,0,0,1,1,1,0,0,1,0,-1,1,0,-1,0,-1,0,0,0,0,-1,1,0,1,-1,0,1,0,0,1,-1
447,1,0,1,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,1,1,0,1,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,-1,1
448,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,1,0,-1,0,-1,0,-1,-1,0,1,-1
449,0,0,0,1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,-1,0,1,0,1,1,0,-1,0,0,1,1,0,0,1,0,-1,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,0
450,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,1,1,-1,0,0,0,0,0,1,-1,-1,1
451,0,0,-1,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,-1,1,0,0,0,0,0,0,-1,1,0,0,0
452,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,1,0,0,-1,0,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
453,0,0,1,0,1,0,1,0,1,-1,0,-1,0,0,-1,0,-1,0,-1,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,-1,0,1,0,0,1,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,0
454,0,-1,0,0,-1,0,-1,0,0,0,-1,0,0,0,-1,1,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,1,-1,0,0,0,0,-1,-1,0,0,0,-1,0,1,0,0,-1,1,0,1,1,0,-1,0,-1,0,-1
455,0,-1,-1,-1,0,0,1,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,1,-1,-1,1,0,0,0,0,0,1,0,-1,0,0,-1,-1,0,0,-1,1,0,1,0,0
456,-1,-1,0,0,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,1,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,-1,1,1,-1,0,0,0,1,1,0,0,0,1,0
457,0,-1,-1,1,0,0,0,0,0,0,0,0,-1,-1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,-1,-1,0,0,0,0,-1,0,1,-1,-1,0,0,1,-1,0,-1,-1
458,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0
459,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,1,-1,1,0,-1,1,-1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1,0,0,0,0
460,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,1,0,-1,0,0,0,-1,1,-1,0,-1,0,1,0,0,1,1,1,0,0,-1,0,-1,0,-1,0,-1,0,1,0,-1,0,0,-1,0
462,0,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,1,0,0,0,1,-1,0,1,0,0,0,1,0,1,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,1,0,0,0,-1,0,-1,0,0,1,0,-1,0
463,0,-1,-1,0,-1,-1,0,0,0,0,0,1,1,1,0,0,0,-1,-1,0,0,-1,1,0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,-1,-1,1,0,-1,-1,0,1,0,0,0,1,0,0,-1,0,-1,0,0,0,-1,-1,1,0,1,-1,0
464,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,1,-1,0,0,-1,0,0,-1,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,0
465,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,1,1,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,1,-1,0,0
466,0,0,-1,-1,0,0,1,1,0,1,-1,-1,0,0,0,0,0,0,0,1,-1,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,-1,1,0,0,-1,-1,0,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
467,0,0,0,0,0,0,0,-1,0,1,-1,1,0,1,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,-1,0,1,-1,0,1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,1
468,-1,0,0,-1,1,1,0,-1,-1,0,0,0,0,-1,0,0,0,1,1,-1,0,0,0,0,0,1,0,0,1,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,1,-1,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
469,1,1,1,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,-1,1,-1,0,0,0,-1,-1,0,0,0,1,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0
470,0,0,0,-1,1,-1,0,1,0,0,1,0,0,0,0,0,-1,-1,0,1,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,1,0,0,0,0
471,0,1,-1,-1,0,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,1,0,1,0,0,0,0,1,-1,-1,0,-1,0,0,0,1,0,-1
